Customer ID,Subscription,Sales Rep,Date Sold,Initial Service Date,Status,APay,Contract,Initial Service Price,Recurring,Services,Contract Value,Service Plan
58983,RBB - Rodent Bait Box,Nick  Everesdyk,09/03/24 05:24 PM,9/6/24,Pending,CC,12,100.00,50.00,4,250.00,No
58983,Pest - Quarterly Pest Control,Nick  Everesdyk,09/03/24 05:21 PM,9/6/24,Pending,CC,12,129.00,129.00,4,516.00,No
58981,Pest - Tri-Annual Pest Control,Nick  Everesdyk,09/03/24 04:36 PM,9/6/24,Pending,CC,12,129.00,129.00,3,516.00,No
58978,Pest - Quarterly Pest Control,Nick  Everesdyk,09/03/24 03:57 PM,9/4/24,Pending,CC,12,139.00,139.00,4,556.00,No
58976,Pest - Quarterly Pest Control,Nick  Everesdyk,09/03/24 03:54 PM,9/4/24,Pending,CC,12,139.00,139.00,4,556.00,No
58974,Pest - Tri-Annual Pest Control,Nick  Everesdyk,09/03/24 03:54 PM,9/4/24,Pending,CC,12,129.00,129.00,5,516.00,No
58973,Pest - Quarterly Pest Control,Nick  Everesdyk,09/03/24 03:53 PM,9/4/24,Pending,CC,12,139.00,139.00,4,556.00,No
58963,Pest - Tri-Annual Pest Control,Jackson Buettner,09/02/24 09:15 PM,9/3/24,Serviced,CC,12,75.00,75.00,4,225.00,No
58932,Pest - Tri-Annual Pest Control,Jackson Buettner,08/30/24 12:44 PM,9/3/24,Serviced,CC,12,109.97,109.97,4,329.91,No
58926,Pest - Tri-Annual Pest Control,Jackson Buettner,08/29/24 08:58 PM,8/30/24,Serviced,CC,12,109.97,109.97,4,329.91,No
58918,Pest - Tri-Annual Pest Control,Jackson Buettner,08/29/24 08:05 PM,9/3/24,Serviced,CC,12,109.97,109.97,4,329.91,No
58913,Mosquito - Monthly,Jackson Buettner,08/29/24 08:04 PM,9/3/24,Serviced,CC,12,99.97,99.97,7,499.85,No
58925,P One Time Pest Control,James Bruce,08/29/24 08:00 PM,9/3/24,Serviced,No,12,125.00,0.00,1,125.00,No
58924,P Organic Badger Service Plan,James Bruce,08/29/24 07:47 PM,8/30/24,Serviced,CC,12,75.00,75.00,3,300.00,No
58892,Fertilization,James Bruce,08/29/24 07:41 PM,9/23/24,Pending,CC,12,N/A,N/A,5,266.00,Yes
